bundler,code-splitting,mobile,tti,fmp,speed-index
Webpack 1,FALSE,No,13344,2699,9449
Webpack 1,TRUE,Yes,9344,9337,7314
Webpack 2,TRUE,Yes,4542,4538,4624
Browserify,TRUE,No,6086,6069,6123
Webpack 1,TRUE,No,14386,2329,5413
Webpack 1,FALSE,No,5326,5119,5135
Webpack 1,FALSE,Yes,2849,2843,2454
Webpack 1,TRUE,Yes,5050,4415,5417
Webpack 1,TRUE,Yes,4033,4027,3282
Webpack 1,TRUE,Yes,7824,2087,5567
Webpack 1,TRUE,No,3407,3396,3138
Webpack 1,FALSE,Yes,5060,3361,3780
Webpack 1,FALSE,Yes,8715,1054,1069
Webpack 1,TRUE,No,9205,9196,8958
Webpack 1,FALSE,Yes,8115,8099,8574
Webpack 1,FALSE,Yes,4442,1442,3054
Rollup and browserify,TRUE,Yes,2902,1388,2198
Browserify,TRUE,Yes,2160,2156,-1
Webpack 2,TRUE,Yes,4038,4020,3877
Browserify,TRUE,No,2248,2058,2130
Webpack 1,TRUE,No,3640,3629,2664
Webpack 1,FALSE,Yes,4950,2127,3621
Webpack 1,FALSE,No,2280,1998,2210
Webpack 1,TRUE,Yes,2470,1537,1726
Webpack 1,TRUE,No,5835,3856,5246
Webpack 1,TRUE,Yes,4466,4003,4010
Webpack 1,TRUE,No,18867,16089,18072
Browserify,TRUE,Yes,9883,9883,3684
Browserify,TRUE,No,2275,2127,2216
meteorjs,TRUE,No,2520,2500,2430
Webpack 1,FALSE,No,1449,1279,1857
Webpack 1,TRUE,Yes,3360,3350,3374
Webpack 1,TRUE,No,3380,3374,1447
Webpack 1,TRUE,Yes,4095,4084,3180
Webpack 2,TRUE,Yes,3575,2940,2849
Webpack 1,TRUE,No,4165,4053,3771
Webpack 1,TRUE,Yes,2739,1566,2228
Webpack 1,TRUE,No,5479,5479,3862
Webpack 1,FALSE,Yes,2145,1895,2829
Webpack 1,TRUE,Yes,10119,9649,8013
Browserify,TRUE,Yes,8585,8575,6754
Webpack 1,TRUE,No,5025,3116,3991
